Fund House,Scheme Type,Scheme Category,Scheme Code,Scheme Name,NAV,Date
Nippon India Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,114616,Nippon India Gold Savings Fund-Growth plan- Growth Option,29.6227,14-10-2024
Nippon India Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,114617,NIPPON INDIA GOLD SAVINGS FUND - IDCW Option,29.6227,14-10-2024
Kotak Mahindra Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,114757,Kotak Gold Fund Payout of Income Distribution cum capital withdrawal option,29.7714,14-10-2024
Kotak Mahindra Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,114758,Kotak Gold Fund Growth,29.7714,14-10-2024
Kotak Mahindra Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,114858,Kotak Debt Hybrid - Monthly Payout of Income Distribution cum capital withdrawal option,13.4114,14-10-2024
Kotak Mahindra Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,114859,Kotak Debt Hybrid - Growth,57.1099,14-10-2024
Mirae Asset Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,114930,Mirae Asset Great Consumer Fund Regular IDCW,30.588,14-10-2024
Mirae Asset Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,114931,Mirae Asset Great Consumer Fund - Regular Plan - Growth option,100.789,14-10-2024
Motilal Oswal Mutual Fund,Open Ended Schemes,Other Scheme - Other  ETFs,114984,Motilal Oswal Nasdaq 100 ETF (MOFN100),166.4249,11-10-2024
Axis Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,115068,Axis Dynamic Bond Fund - Regular Plan - Growth Option,28.0603,14-10-2024
Axis Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,115069,Axis Dynamic Bond Fund - Regular Plan - Quarterly IDCW,10.9435,14-10-2024
Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,115077,CANARA ROBECO SHORT DURATION FUND - REGULAR PLAN - GROWTH OPTION,24.0961,14-10-2024
Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,115078,CANARA ROBECO SHORT DURATION FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),15.4283,14-10-2024
Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,115079,CANARA ROBECO SHORT DURATION FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment),15.1456,14-10-2024
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,115091,ICICI Prudential Ultra Short Term Fund - Quarterly IDCW,10.9214,14-10-2024
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,115092,ICICI Prudential Ultra Short Term Fund - Growth,26.2999,14-10-2024
ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,115094,ICICI Prudential Ultra Short Term Fund - Monthly IDCW,10.6817,14-10-2024
HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,115116,HSBC Brazil Fund-Growth,6.7424,11-10-2024
