Code,Scheme Name,NAV,ISIN Div Payout,ISIN Growth,ISIN Div Reinvestment
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,119.71990,INF209K01579,N/A,N/A
133412,JM Aggressive Hybrid Fund (Direct) - Monthly IDCW,98.43550,INF192K01HN3INF192K01HO1,N/A,N/A
,,N/A,,N/A,N/A
120283,LIC MF Gilt Fund-Direct Plan-IDCW,18.09170,INF767K01EY6INF767K01FA3,N/A,N/A
100325,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01964,N/A,N/A
134955,JM Large Cap Fund (Regular) - Half Yearly IDCW,25.04240,INF192K01JP4INF192K01JQ2,N/A,N/A
100084,DSP Gilt Fund - Regular Plan - Growth,91.75180,INF740K01615,N/A,N/A
134872,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Monthly)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01AH9,N/A,N/A
,,N/A,,N/A,N/A
123287,DSP Savings Fund - Regular Plan - IDCW - Daily,10.10210,INF740KA1PC1,N/A,N/A
134663,JM G-Sec Fund - Half Yearly Dividend Option,28.17440,INF192K01KC0INF192K01KD8,N/A,N/A
,,N/A,,N/A,N/A
133445,Aditya Birla Sun Life Income Fund - Regular - IDCW,12.03620,INF209KA1WJ6INF209KA1WK4,N/A,N/A
119020,DSP Equity & Bond Fund - Direct Plan - IDCW,70.82700,INF740K01NZ1INF740K01OA2,N/A,N/A
119571,Aditya Birla Sun Life Liquid Fund -DIRECT - IDCW,190.32960,INF209K01VD7,N/A,N/A
100218,JM Large Cap Fund (Regular) - IDCW ,29.65460,INF192K01585INF192K01593,N/A,N/A
100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,77.86740,INF209K01AC3INF209K01AD1,N/A,N/A
120596,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth,1023.34000,INF109K011O5,N/A,N/A
134954,JM Large Cap Fund (Regular) - Quarterly IDCW,34.47410,INF192K01JL3INF192K01JM1,N/A,N/A
103819,DSP Equity Opportunities Fund-Regular Plan - Growth,588.78300,INF740K01094,N/A,N/A
,,N/A,,N/A,N/A
120282,LIC MF Gilt Fund-Direct Plan-Growth,62.78630,INF767K01EZ3,N/A,N/A
120846,quant ELSS Tax Saver Fund - IDCW Option - Direct Plan,53.21360,INF966L01960INF966L01127,N/A,N/A
134959,JM Large Cap Fund (Regular) - Monthly IDCW,23.73620,INF192K01JH1INF192K01JI9,N/A,N/A
120260,LIC MF Aggressive Hybrid Fund-Direct Plan-IDCW,20.50840,INF767K01EC2INF767K01EE8,N/A,N/A
100079,DSP Bond Fund - IDCW - Monthly,11.12030,INF740K01573INF740K01AA1,N/A,N/A
151986,LIC MF Medium to Long Duration Fund-Regular Plan-Quarterly IDCW,15.04770,INF397L01FU5,N/A,N/A
,,N/A,,N/A,N/A
,,N/A,,N/A,N/A
151989,LIC MF Medium to Long Duration Fund-Regular Plan-Annual IDCW,15.04780,INF397L01FX9,N/A,N/A
134867,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Half-Yearly)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01AC0,N/A,N/A
120420,JM G-Sec Fund - (Direct) - Quarterly Dividend Option,29.28860,INF192K01CP9INF192K01CQ7,N/A,N/A
100077,DSP Bond Fund - IDCW,11.80370,INF740K01565INF740K01995,N/A,N/A
,,N/A,,N/A,N/A
,,N/A,,N/A,N/A
119218,DSP Equity Opportunities Fund - Direct Plan - Growth,653.17000,INF740K01PL6,N/A,N/A
100348,ICICI Prudential Large & Mid Cap Fund - IDCW,32.18000,INF109K01EQ7INF109K01449,N/A,N/A
119107,DSP Savings Fund - Direct Plan - IDCW - Monthly,10.97400,INF740K01NT4INF740K01NW8,N/A,N/A
100281,Kotak Gilt-Investment  Provident Fund and Trust-Growth,94.80230,INF174K01FL9,N/A,N/A
100292,Kotak Bond-Deposit-Growth,42.93540,INF174K01EJ6,N/A,N/A
100351,ICICI Prudential FMCG Fund - IDCW,89.01000,INF109K01EO2INF109K01423,N/A,N/A
134661,JM G-Sec Fund - (Direct) Half Yearly Dividend Option,29.77230,INF192K01KE6INF192K01KF3,N/A,N/A
134877,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Yearly)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01DS0,N/A,N/A
133406,JM Aggressive Hybrid Fund (Direct) - Quarterly IDCW,34.62210,INF192K01HR4INF192K01HS2,N/A,N/A
,,N/A,,N/A,N/A
,,N/A,,N/A,N/A
134870,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Half-Yearly)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01AF3,N/A,N/A
118922,DSP Bond Fund - Direct Plan - IDCW,11.93960,INF740K01NB2INF740K01ND8,N/A,N/A
120406,JM Liquid Fund (Direct) - Growth Option,68.95920,INF192K01CM6,N/A,N/A
,,N/A,,N/A,N/A
135979,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Quarterly)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01OV1,N/A,N/A
